Sigma_1,Sigma_2,Corr_Coeff,Rel_Error
2.0,1.0,0.25,0.08638145034333833
3.0,1.0,0.25,0.9997232060902558
3.0,1.0,0.25,0.9796348799988185
3.0,1.0,0.25,0.9999957373617882
3.0,1.0,0.25,0.9999373961615944
3.0,1.0,0.25,0.9990877738677186
3.0,1.0,0.25,0.1371295895650153
3.0,1.0,0.25,0.9999880100854515
3.0,1.0,0.25,0.9997601322988574
3.0,1.0,0.25,0.9992216257600444
3.0,1.0,0.25,0.9997604906202638
3.0,1.0,0.25,0.9999990960517164
3.0,1.0,0.25,0.9999841196499826
3.0,1.0,0.25,0.9975617949174439
3.0,1.0,0.25,0.9993320327754366
3.0,1.0,0.25,0.9999139735570584
3.0,1.0,0.25,0.9999074849672352
3.0,1.0,0.25,0.9999428948098209
3.0,1.0,0.25,0.49609138266742586
3.0,1.0,0.25,0.24918605552995815
3.0,1.0,0.25,0.9985509530318897
3.0,1.0,0.25,0.9999987388520295
3.0,1.0,0.25,0.9999894983434869
3.0,1.0,0.25,0.9982001168223388
3.0,1.0,0.25,0.9939198294097693
3.0,1.0,0.25,0.999986240004667
0.5,2.0,0.25,0.047756962411450506
0.5,2.0,0.25,0.12476516261723744
0.5,2.0,0.25,0.014587038681200008
0.5,2.0,0.25,0.02528096848686142
0.5,2.0,0.25,0.0031396226818932453
0.5,2.0,0.25,0.03458285091777814
0.5,2.0,0.25,0.266472306355247
0.5,2.0,0.25,0.0470073345543569
0.5,2.0,0.25,0.006006567318309487
0.5,2.0,0.25,0.01704027380207992
0.5,2.0,0.25,0.014330769975314794
0.5,2.0,0.25,0.10053050400472004
0.5,2.0,0.25,0.029218811005923436
0.5,2.0,0.25,0.007520177009947678
0.5,2.0,0.25,0.018087968821453214
0.5,2.0,0.25,0.16381832989461226
0.5,2.0,0.25,0.07072309443317516
0.5,2.0,0.25,0.06678399234830111
0.5,2.0,0.25,0.009655069462952724
0.5,2.0,0.25,0.03170501033462509
0.5,2.0,0.25,0.18463636393534005
0.5,2.0,0.25,0.03730092019879528
0.5,2.0,0.25,0.048065091347712516
0.5,2.0,0.25,0.08152551838428884
0.5,2.0,0.25,0.08072044571142001
1.0,2.0,0.25,0.0053555319463427144
1.0,2.0,0.25,0.00587808604803646
1.0,2.0,0.25,0.005180795348707335
1.0,2.0,0.25,0.012353217976597686
1.0,2.0,0.25,0.01807617575299944
1.0,2.0,0.25,0.007310262033043945
1.0,2.0,0.25,0.012279155207633547
1.0,2.0,0.25,0.025945150974055458
1.0,2.0,0.25,0.021903421891749465
1.0,2.0,0.25,0.015231983137371495
1.0,2.0,0.25,0.00480208544422477
1.0,2.0,0.25,0.01589848822546931
1.0,2.0,0.25,0.009861985827415397
1.0,2.0,0.25,0.012693710523166146
1.0,2.0,0.25,0.01156083438716624
1.0,2.0,0.25,0.02140660242622994
1.0,2.0,0.25,0.01194386161665475
1.0,2.0,0.25,0.01104657041209089
1.0,2.0,0.25,0.014695868527754983
1.0,2.0,0.25,0.00641273431569845
1.0,2.0,0.25,0.014899504591321038
1.0,2.0,0.25,0.014069108124026335
1.0,2.0,0.25,0.012598440053138305
1.0,2.0,0.25,0.010299779504093477
1.0,2.0,0.25,0.01412957903253998
2.0,2.0,0.25,0.9999968667436645
2.0,2.0,0.25,0.9999853945560646
2.0,2.0,0.25,0.9911954766726828
2.0,2.0,0.25,0.017155709075836745
2.0,2.0,0.25,0.9999959529978669
2.0,2.0,0.25,0.9997793887413229
2.0,2.0,0.25,0.04875637178224966
2.0,2.0,0.25,0.9998542655051953
